age,income,expenses,savings,risk_score,assets_value,liabilities
40,39475.295466349984,34966.63257045275,4508.662895897236,2,5536.032098571371,25682.682602000754
55,30222.023201423963,24689.279513710946,5532.743687713017,2,9162.344357431015,20239.135391880336
50,28269.385155754757,25454.021507079007,2815.3636486757496,3,5055.958297379081,26798.59870713488
24,178106.71271249684,93383.74704753136,84722.96566496548,8,409868.2376365954,32358.551560188855
43,67127.30568094229,42754.156868537175,24373.14881240511,5,127360.53454650714,56300.005913429835
33,166060.50340453605,68325.30211558063,97735.20128895542,8,571971.8737359262,27528.552454645538
30,90090.36782700103,55147.46350979955,34942.90431720148,6,109959.5660043876,49460.73712508055
26,150861.60147746836,76192.93259065585,74668.6688868125,10,526327.6004499877,29593.735409162804
37,80061.7526797203,47851.56828745378,32210.18439226652,4,159351.78856070558,49525.952228240596
56,24663.886479273402,20537.769409448523,4126.117069824879,2,7114.765547816479,17037.125550758377
55,25344.34095331991,21245.843318636926,4098.497634682983,2,7475.147249708758,20383.178729630672
31,168256.05525329825,81625.05025747222,86631.00499582604,9,435539.30202361674,36444.57376768465
46,73330.31551020339,40796.75193626814,32533.56357393525,6,92876.86272615264,56248.831435381915
56,32926.94394687332,30008.11443615689,2918.8295107164267,2,12633.06067029389,23412.978498890545
34,83927.05339588442,53351.09363182337,30575.959764061045,5,145359.50024323407,36741.78072530351
43,20899.079312178987,17593.8699509279,3305.209361251087,1,7356.865431115131,12578.637323755785
40,27117.657932509133,23564.98912907862,3552.6688034305116,1,14583.977666485735,24569.643106586198
36,82083.62015077902,48255.15295719283,33828.46719358619,4,86976.4064302404,65127.623032120915
22,136133.78904736743,61236.96718330184,74896.8218640656,10,502565.16552590486,25862.17186451793
26,117805.27916180257,61437.21724810676,56368.061913695805,10,596579.960663091,29427.861189462503
25,167890.37642869074,92251.11410709108,75639.26232159966,7,509604.0362754104,34358.626256961434
55,30230.933133635586,26246.64205373006,3984.291079905528,3,11261.109633088125,22805.557911094515
23,127439.39860955106,64640.538704131824,62798.85990541924,10,487710.6334464176,53150.800279650204
45,81244.20426915631,46835.23382131006,34408.97044784625,6,149593.54952302994,67841.73086923281
57,18454.314755576812,16671.51277855121,1782.8019770256033,3,7178.372417917513,17560.42435113901
33,77559.97963252565,45539.67302296779,32020.306609557854,6,147153.04619661352,48367.26096399219
42,30629.438936780007,25160.387735399625,5469.051201380382,1,7902.636434091255,25416.639215746356
34,197722.85810638382,98861.9167399155,98860.94136646832,9,572750.1513757273,28205.758026541236
47,38893.103436957506,33395.07071758575,5498.032719371753,2,8420.003554220497,22231.430943757536
34,90916.49431195372,55287.76320071806,35628.73111123566,5,129797.14204960444,48948.019088676374
40,26576.58375644163,21118.86121115718,5457.7225452844505,2,8438.738877212494,25676.26179595574
57,21378.64059434338,19041.798454687683,2336.842139655695,3,9845.68596962682,23022.19577397922
30,80742.69468710772,50522.1729852646,30220.52170184312,6,140912.48872155807,47977.19364784588
35,69699.64911666195,43382.37803576672,26317.271080895232,4,144682.0809851869,52379.74492440706
26,121195.73808868493,62124.27566031097,59071.46242837396,9,528358.5972563506,36295.108939736754
59,24030.483164839865,21472.60718373879,2557.875981101075,1,10841.239870033396,18452.351907127362
47,86141.15731291752,56020.00135171012,30121.155961207405,4,188729.52055771687,36841.930916608646
30,152287.37775340193,70391.59203237762,81895.78572102431,9,490574.9541275481,27973.704619480755
32,134249.56315119725,63016.49337038068,71233.06978081656,10,346877.63677084015,21491.834332736642
41,29441.041876642943,23044.864083791053,6396.1777928518895,2,11103.547202304804,22375.24173260458
25,131868.78398745976,64818.34149902683,67050.44248843292,8,461495.6118965803,8466.649220362797
41,87224.52239049623,44179.04921408744,43045.47317640879,6,150150.81324395098,52758.5955351328
