age,monthly_income,current_savings,investment_horizon_years,credit_score,expenses_per_month,debt_amount,marital_status,dependents,has_existing_investments,equity%,debt%,gold%,real_estate%
59,29144,148808,17,562,24196,6859,0,1,1,30.4279155782196,14.85670339484518,39.30050834206757,15.414872684867639
49,33735,199118,8,628,23883,234837,0,1,0,25.75140971942969,22.27073276349831,42.59973074909572,9.378126767976275
35,78863,61936,20,468,47864,135768,1,0,1,32.34128882164903,24.7896827842452,28.85973284649412,14.009295547611655
63,49279,192095,11,665,42334,173365,0,1,1,26.857687396744563,24.19038015688389,38.78909912854948,10.162833317822066
28,110712,119715,30,723,62422,317079,0,2,1,41.67566679116565,25.709398305766328,14.232051881515531,18.38288302155248
41,104029,178593,27,641,62452,166617,0,0,0,35.079337947989956,26.997908930344128,22.41952788718121,15.503225234484718
59,110211,289100,39,690,44274,141436,1,3,0,35.89287137687379,16.74830004179855,24.487986172750976,22.870842408576674
39,32505,32579,14,609,28233,127969,0,2,1,33.40571146207936,22.539848498972685,31.556908532445842,12.49753150650211
43,74727,152121,15,526,32329,35901,0,0,1,36.079157858361704,18.81543545097234,33.577062205638775,11.52834448502718
31,45674,8563,12,650,19221,378410,1,1,0,31.165388887430517,28.461909949077192,32.628661301137626,7.744039862354655
31,69836,17234,20,704,25191,93718,1,3,1,45.77187909931149,16.994118388610126,26.1016944103018,11.132308101776587
44,35832,179629,17,544,20496,30135,1,1,0,27.596253129509396,16.783201870677157,37.70907631596927,17.911468683844166
56,96785,11773,26,613,44924,28260,0,2,1,36.029342816913925,19.37453244657348,29.964945401243586,14.631179335269012
60,36392,144760,14,630,27092,202661,0,1,1,29.942092154091636,22.13701563878498,38.28592075590359,9.634971451219803
44,15000,39756,25,850,7267,34555,1,0,1,37.46186155251968,17.61373066639697,27.78898292300435,17.13542485807898
23,121013,58004,26,668,88637,5077,1,0,0,38.59823711297204,27.983170400557732,15.775899003207613,17.642693483262605
42,73275,22215,25,498,30597,67120,0,2,1,33.71758221716239,20.477656939076393,28.475014408417582,17.32974643534363
22,27926,45745,25,478,12231,204022,1,0,1,31.025808193088157,25.5381800631644,24.35981383468268,19.076197909064767
44,55132,275520,27,708,43207,64222,0,1,0,29.915063048224926,20.285740657167224,26.968599174875006,22.830597119732836
64,42694,162966,12,849,22314,195280,0,1,1,36.65657358877018,20.748620620496222,37.833489571493814,4.761316219239784
50,60172,478550,20,628,22086,210682,1,0,1,31.3854958243857,16.674811495223913,31.244403778626484,20.6952889017639
58,84083,7996,16,623,73727,233984,0,1,1,31.347867933358962,28.17340478363169,32.073306642452835,8.405420640556505
22,79373,251552,25,684,32259,106670,0,3,1,37.98180660139152,23.836301318564693,18.233721373660938,19.948170706382847
41,67612,192144,27,586,26376,144265,1,1,1,35.72851523388999,17.34984759645265,25.74154943618045,21.180087733476903
53,60158,48370,18,446,30983,36434,0,0,1,29.397524742431603,18.05105771736193,40.75227580747178,11.799141732734673
32,92360,209000,10,733,33007,12603,0,1,1,42.09549944676772,19.940879464611562,23.375861044377352,14.587760044243367
42,15000,201714,30,601,5900,91315,1,3,0,27.51902063251583,16.281864578168676,31.29803910115744,24.901075688158052
64,37532,98396,1,734,30320,1277,1,1,1,27.83481094309121,21.889810346306003,45.6323640154783,4.64301469512448
45,30640,186689,4,589,12344,75224,0,0,1,31.622105205561656,17.030646632275666,45.557469799405304,5.789778362757379
69,90188,94085,23,660,33086,12923,0,0,0,30.27967278990687,15.080407225430475,39.4427369185422,15.19718306612045
47,37827,65406,7,718,31319,13771,1,2,1,31.79786381588584,18.187579815444455,41.02020644191426,8.994349926755442
