age,retirement_age,income,expenses,savings,investment,inflation,return_rate,readiness_score
53,68,1451632.98,1549364.49,11093388.1,38424008.16,7.0204783481679645,7.151556216240556,41.65177429979011
39,63,3796010.57,3977593.31,2543584.32,30735062.09,5.129688542334698,11.274678987660728,33.817568395469
32,62,1884335.33,2596905.2,758913.92,17625378.1,7.973420825982436,14.236648375496529,20.904938242827882
45,56,5807120.81,2484457.57,14596824.64,49013722.93,3.4625021896948187,14.97518131172675,70.79333110686578
43,67,5629139.44,979030.17,21044275.3,57176127.23,6.9017393137007925,5.324510767906757,82.86311680274873
47,63,2008684.55,2115247.0,25808373.07,22442366.6,6.368508667710782,7.355882282446775,41.94922991112997
35,61,5421552.62,2052798.01,20421476.88,20907573.25,6.837494152953527,8.103071157916975,58.334531354993494
35,63,3508450.99,3710385.8,376467.06,39173068.23,4.537648977452282,8.991261004449662,33.49129168502654
48,60,5460572.22,4287857.32,14338620.66,39336641.7,5.460272446912003,7.422571575847674,41.97681101666492
48,60,2803435.56,357987.08,6783174.97,4539612.08,6.982542598618542,7.034879945553126,35.34664509200196
27,65,1786611.98,2571570.24,23376867.29,12736114.85,4.162706658104275,14.545538424175,47.66023340153495
46,68,913441.4,1955224.23,4158784.86,7114105.81,4.130165983943261,14.18521602770518,22.47299354389247
26,58,5790130.96,749732.41,28202180.08,40954009.32,5.755254766474662,5.469925010031175,88.02571398081182
48,64,5305064.37,4066870.4,10695370.4,39749518.24,5.617817897649279,8.38813021604848,46.421912562059276
54,64,3787166.97,643244.36,25723373.48,21375153.36,4.411312352064664,9.051485536784067,64.31540164700206
26,67,552628.94,628965.42,17253733.9,14869599.3,4.490378252624113,7.390145346659434,49.53095703727837
45,67,1438066.45,481937.86,10683669.89,7921127.27,4.389225816032828,11.288728969881756,45.894200673671435
57,56,3572891.98,4329542.89,4311679.73,37340599.24,6.857560309992438,11.40380746644241,19.907206691454512
36,61,4991354.37,2128491.67,2676695.0,44981197.86,6.259504327812303,13.50504228328597,59.433631315595264
46,59,475889.34,824215.74,16524916.56,34523453.41,7.162085917051264,12.40869268385218,43.921015494954865
49,65,3822351.17,1860789.93,15185285.02,33414178.19,7.87736514157011,10.425733269659556,48.73395150248632
51,60,5312164.6,844767.66,24178781.43,53418898.42,5.370821481359933,11.5358677004442,85.96922384245289
52,56,4051745.86,739526.4,11778658.88,51719929.29,3.3334694070272444,7.739887815430181,64.9941242501785
40,59,5713898.51,451087.8,2053010.55,22694219.82,3.240461552060177,10.930561899673576,68.82912705027016
39,64,5271433.34,1142622.9,17873671.91,37141215.7,4.478325196358096,9.892272547499193,77.15583619656006
27,58,3909994.72,612617.57,18567107.72,818904.18,7.662722946762255,6.333444673163704,53.06441033505367
31,63,1219544.0,594008.34,11960461.06,16890033.28,5.616065274854375,7.4254427658297075,42.988766656348936
45,60,2425252.88,2915765.66,19751531.16,37564623.26,4.358932580400646,7.91693450721586,44.04256533561949
33,56,425490.34,2227128.01,12418286.82,27230534.66,4.995833972555098,14.24309567052558,34.53371615943424
42,55,1446371.19,2275580.18,12635620.58,46489992.72,5.992975537023354,7.303866393858894,34.98945826698521
28,59,2618417.35,1744039.9,18511571.06,21525233.39,6.264748290689211,7.892439028196682,48.398810597774116
49,63,3358712.08,1909149.62,12574353.27,16888374.37,3.769597548914525,8.693541300894323,45.39325998193045
38,60,3442773.81,4200591.51,307848.11,752046.27,7.88515838272588,11.63742738625387,4.523600580147662
33,64,5255679.69,1789184.66,6775645.43,44964650.77,5.723861134913944,6.182383924721405,60.7418578434538
50,66,858414.57,1005135.01,4164965.13,27690937.73,3.678441588961397,14.53945212493776,39.45097490387672
26,61,3583827.61,1548511.0,25040081.94,13414578.87,7.468176266730668,13.655712200947644,63.77327002463029
44,59,412747.95,1034602.73,2793585.76,11275893.81,3.373192155397144,10.7721607300895,24.079173000531707
52,64,4493069.93,2054699.9,10290329.46,39599638.62,7.538677165887563,11.740378674249568,52.93224269648133
31,60,3944798.55,4316854.63,18547955.8,41943499.28,7.982828281444912,5.16660471244216,38.16586668676549
32,59,3202887.25,2498851.72,22994394.86,14681380.92,6.502158995782519,8.389447753484486,43.499338782644124
59,65,1940947.03,2005254.87,8456412.93,35488884.98,6.852236105369949,12.95660230661442,37.884039705787835
38,63,413191.71,988013.38,15988513.11,11172093.72,4.686514182337432,5.774829737923859,35.0818480405639
41,69,3120980.95,3951607.02,22839614.94,6191752.63,7.707884263669669,7.823138342107202,33.38619983204286
28,60,1173836.23,2583359.63,18187217.78,37418031.39,5.648569830541838,10.852968283343111,39.74653755727471
26,65,4319684.69,3012454.62,2757980.34,13549124.03,6.661942232987775,7.564130276989418,32.34572092049273
30,62,3480493.81,3903806.48,18104697.27,54103778.64,7.620538579556397,14.339779741445192,50.54462740322946
28,56,4738440.15,540137.21,24267836.33,14156008.6,7.875899879877542,6.310586308042904,65.83286648851428
53,66,1424880.3,3553686.24,17962510.76,12957542.84,7.166021782983372,12.973943579077789,21.16764915640386
42,67,5442631.45,741485.28,3191290.09,21208734.84,4.51508753491015,10.079486919064085,65.21413885399957
50,63,3588328.65,2657823.85,5508479.53,31042188.17,7.832737582760412,12.50330775819956,36.178798110569275
58,59,4732702.91,3434425.65,16528506.19,22970465.01,6.140597656217858,8.107153283114474,38.1646987767076
34,61,3264507.16,2863307.04,13547216.53,14164078.58,7.653212381759799,10.144896023120388,35.176729234142606
38,64,3355352.15,1867574.51,8603901.85,50065817.85,6.380525129071759,13.568353497231763,60.69510717295613
55,67,5161126.09,4071672.36,21688954.61,25644533.98,4.536194809238602,9.668780991231044,52.278018103648755
39,55,2830029.75,2069168.92,4058452.84,54793359.48,4.85012262071408,8.597198619102695,46.156366832969645
32,64,2306260.53,3534355.53,4462508.69,38447523.42,5.752358885514703,10.36155386252736,32.00699878088002
38,59,3776548.31,2353470.77,8813109.56,18570138.04,6.95007420779941,12.17362753036367,39.426971226479296
47,66,1104545.53,814201.2,442938.84,35841249.64,4.589912756701675,9.435633454985028,38.38253592077797
45,68,2754050.88,1278351.98,2306209.97,10742537.08,5.89865583067096,14.38876975142273,42.35079412076365
40,64,3703263.73,2462986.05,18158049.76,6601242.85,4.728124967882008,7.949458240423421,42.93569913252139
42,68,1011830.39,2543965.57,8875005.32,13011656.32,7.078847023175536,9.754636061691205,23.861803718100028
48,56,500201.31,1164591.69,18503310.08,29177433.26,5.333640468839752,12.569276593414417,42.41397907844527
